notused16 0xFFFF 0xFF 2	rw
notused32 0xFFFF 0xFE 4 rw
notused64 0xFFFF 0xFD 8 rw
NMT 0x0 0x0 1 wo
interpolation_data_record:ip_data_position 0x60C1 0x1 4 rw
sync_timeout_factor 0x200e 0x0 1 rw
controlword 0x6040 0x0 2 rw
statusword 0x6041 0x0 2 ro
modes_of_operation 0x6060 0x0 1 wo
modes_of_operation_display 0x6061 0x0 1 ro
torque_actual_value 0x6077 0x0 2 rw
position_actual_value 0x6064 0x0 4 rw
ip_time_units 0x60C2 0x1 1 rw
ip_time_index 0x60C2 0x2 1 rw
